cisp;mes;ano;pop
140;2;2003;23358,45
141;2;2003;36982,36
142;2;2003;14710,40
143;2;2003;121127,83
144;2;2003;34100,35
145;2;2003;28912,26
146;2;2003;195414,54
151;2;2003;175617,01
152;2;2003;10484,87
153;2;2003;19833,71
154;2;2003;24039,90
155;2;2003;8526,75
156;2;2003;10435,74
157;2;2003;10102,27
158;2;2003;23316,15
159;2;2003;49964,23
165;2;2003;27488,75
166;2;2003;130633,04
167;2;2003;31433,19
168;2;2003;16529,34
1;3;2003;1547,19
4;3;2003;29828,28
5;3;2003;35702,31
6;3;2003;76368,41
7;3;2003;38708,20
9;3;2003;129096,37
10;3;2003;97641,59
12;3;2003;86753,95
13;3;2003;65702,03
14;3;2003;83975,59
15;3;2003;140304,22
16;3;2003;287904,41
17;3;2003;75952,28
18;3;2003;64049,10
19;3;2003;131795,89
20;3;2003;155163,83
21;3;2003;251819,88
22;3;2003;226773,88
23;3;2003;87244,30
24;3;2003;91748,25
25;3;2003;122902,27
26;3;2003;110119,65
27;3;2003;179676,86
28;3;2003;162890,15
29;3;2003;99095,30
30;3;2003;118990,40
31;3;2003;149738,67
32;3;2003;349044,37
33;3;2003;229837,38
34;3;2003;404839,56
35;3;2003;575185,36
36;3;2003;295053,78
37;3;2003;201054,51
38;3;2003;197463,29
39;3;2003;166831,34
40;3;2003;105533,89
41;3;2003;135322,64
44;3;2003;112187,19
48;3;2003;68488,73
50;3;2003;88510,44
51;3;2003;42153,38
52;3;2003;173457,95
53;3;2003;168130,27
54;3;2003;443516,12
55;3;2003;212445,41
56;3;2003;258113,22
57;3;2003;154693,75
58;3;2003;341556,16
59;3;2003;328713,16
60;3;2003;264077,94
61;3;2003;56314,55
62;3;2003;146843,67
64;3;2003;451910,91
65;3;2003;122025,41
66;3;2003;130511,58
71;3;2003;222420,31
72;3;2003;317193,01
73;3;2003;153479,75
74;3;2003;200681,60
75;3;2003;247554,17
76;3;2003;73143,17
77;3;2003;138695,74
78;3;2003;120565,80
79;3;2003;69737,84
81;3;2003;64647,30
82;3;2003;87926,01
88;3;2003;90135,83
